trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.15, 'e': 0.5399999999999997}",30,14,-14.070852929149947,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.15, 'e': 0.5349999999999997}",20,14,-8.272429563396436,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.15, 'e': 0.5299999999999997}",20,0,-65.2006968828575,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.15, 'e': 0.5249999999999997}",20,15,0.44855621272934076,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.15, 'e': 0.5199999999999997}",20,0,-15.815538337290384,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.15, 'e': 0.5149999999999997}",20,0,-95.71442311737763,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
78,False,"{'a': 0.15, 'e': 0.5099999999999997}",20,7,-16.500462663609483,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.15, 'e': 0.5049999999999997}",25,0,-58.966969256694135,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
80,False,"{'a': 0.15, 'e': 0.49999999999999967}",20,10,7.6055648066223736,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.15, 'e': 0.49499999999999966}",20,0,-98.35713000095896,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
82,False,"{'a': 0.15, 'e': 0.48999999999999966}",20,3,16.031569422356323,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.15, 'e': 0.48499999999999965}",20,11,-7.282739017032984,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.15, 'e': 0.47999999999999965}",20,4,-3.43853032349036,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.15, 'e': 0.47499999999999964}",25,11,-37.684683888783375,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
86,False,"{'a': 0.15, 'e': 0.46999999999999964}",20,8,-9.100483859847674,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.15, 'e': 0.46499999999999964}",30,22,-5.665343622993269,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.15, 'e': 0.45999999999999963}",25,0,-117.37351993177747,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
89,False,"{'a': 0.15, 'e': 0.4549999999999996}",20,14,-1.3329603103350705,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.15, 'e': 0.4499999999999996}",20,3,-26.365424227755362,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.15, 'e': 0.4449999999999996}",20,4,-25.83974874069553,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.15, 'e': 0.4399999999999996}",20,13,-31.282213729261677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.15, 'e': 0.4349999999999996}",25,0,-96.01326715345739,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
94,False,"{'a': 0.15, 'e': 0.4299999999999996}",25,2,-10.989216363681932,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
95,False,"{'a': 0.15, 'e': 0.4249999999999996}",25,11,12.859781909651819,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.15, 'e': 0.4199999999999996}",20,12,-7.28904910047221,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.15, 'e': 0.4149999999999996}",35,23,-1.9828206758894331,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
