trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.15, 'e': 0.12999999999999923}",25,15,18.639480968684236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.15, 'e': 0.12499999999999922}",20,1,31.559674111092843,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.15, 'e': 0.11999999999999922}",20,0,-0.4737192189003472,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.15, 'e': 0.11499999999999921}",20,9,22.328463955095245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.15, 'e': 0.10999999999999921}",20,13,-0.9473417024616437,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.15, 'e': 0.1049999999999992}",25,18,11.243817290232297,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.15, 'e': 0.0999999999999992}",25,13,23.360498266003617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.15, 'e': 0.0949999999999992}",30,16,28.756842944979134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.15, 'e': 0.08999999999999919}",25,19,11.321846493171867,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.15, 'e': 0.08499999999999919}",35,8,-0.6152677541682416,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
